;activity_index;type;from_event;to_event;lower_bound;upper_bound;passengers
0;1;drive;1;2;5.0;7.0;200
2;2;wait;2;3;1.0;3.0;0
3;3;drive;3;4;4.0;5.0;190
5;4;wait;4;5;1.0;3.0;0
22;5;drive;5;6;3.0;9.0;100
24;6;wait;6;7;1.0;3.0;0
28;7;drive;7;8;2.0;2.0;590
30;8;wait;8;9;1.0;3.0;0
40;9;drive;9;10;4.0;6.0;181
1;10;sync;1;11;20.0;20.0;0
63;11;drive;11;12;5.0;7.0;0
65;12;wait;12;13;1.0;3.0;0
4;13;sync;3;13;20.0;20.0;0
66;14;drive;13;14;4.0;5.0;0
68;15;wait;14;15;1.0;3.0;0
23;16;sync;5;15;20.0;20.0;0
85;17;drive;15;16;3.0;9.0;0
87;18;wait;16;17;1.0;3.0;0
29;19;sync;7;17;20.0;20.0;0
91;20;drive;17;18;2.0;2.0;0
93;21;wait;18;19;1.0;3.0;0
41;22;sync;9;19;20.0;20.0;0
103;23;drive;19;20;4.0;6.0;0
64;24;sync;11;21;20.0;20.0;0
126;25;drive;21;22;5.0;7.0;0
127;26;wait;22;23;1.0;3.0;0
67;27;sync;13;23;20.0;20.0;0
128;28;drive;23;24;4.0;5.0;0
129;29;wait;24;25;1.0;3.0;0
86;30;sync;15;25;20.0;20.0;0
146;31;drive;25;26;3.0;9.0;0
147;32;wait;26;27;1.0;3.0;0
92;33;sync;17;27;20.0;20.0;0
151;34;drive;27;28;2.0;2.0;0
152;35;wait;28;29;1.0;3.0;0
104;36;sync;19;29;20.0;20.0;0
162;37;drive;29;30;4.0;6.0;0
184;38;drive;31;32;4.0;6.0;181
186;39;wait;32;33;1.0;3.0;0
187;40;drive;33;34;2.0;2.0;440
189;41;wait;34;35;1.0;3.0;0
211;42;drive;35;36;3.0;9.0;100
213;43;wait;36;37;1.0;3.0;0
223;44;drive;37;38;4.0;5.0;40
225;45;wait;38;39;1.0;3.0;0
229;46;drive;39;40;5.0;7.0;200
185;47;sync;31;41;20.0;20.0;0
247;48;drive;41;42;4.0;6.0;0
249;49;wait;42;43;1.0;3.0;0
188;50;sync;33;43;20.0;20.0;0
250;51;drive;43;44;2.0;2.0;0
252;52;wait;44;45;1.0;3.0;0
